# ls_id        ra_1        dec_1        
  J0737+3340   114.317     33.6677      
  J0737+3025   114.32244   30.42461     
  J0737+3344   114.36043   33.74579     
  J0737+2353   114.39485   23.88777     
  J0737+3114   114.42471   31.22408     
  J0737+4003   114.4386    40.06649     
  J0737+4049   114.47244   40.81891     
  J0737+4114   114.47368   41.24777     
  J0738+4000   114.51677   40.01108     
  J0738+3043   114.64497   30.72418     
  J0738+2942   114.68016   29.71586     
  J0738+2416   114.68899   24.27487     
  J0738+2746   114.7011    27.78226     
  J0738+4239   114.72185   42.65745     
  J0739+2850   114.79677   28.84897     
  J0739+2807   114.8117    28.11664     
  J0739+5031   114.88378   50.518818    
  J0739+3237   114.88449   32.63699     
  J0739+2323   114.88726   23.39982     
  J0739+4419   114.90309   44.32674     
  J0739+3251   114.95136   32.8523      
  J0739+2414   114.98282   24.24592     
  J0739+3829   114.98681   38.48605     
  J0739+3405   114.99193   34.09114     
  J0740+2248   115.00677   22.80975     
  J0740+2905   115.0437    29.09742     
  J0740+2233   115.06702   22.56623     
  J0740+2900   115.09014   29.015       
  J0740+3752   115.10935   37.87774     
  J0740+2733   115.17924   27.56163     
  J0740+2246   115.20468   22.7781      
  J0740+2317   115.22255   23.29        
  J0740+4114   115.23231   41.236       
  J0741+3001   115.25869   30.01765     
  J0741+3835   115.41226   38.58682     
  J0741+3902   115.42175   39.03512     
  J0741+2317   115.48618   23.28624     
  J0742+3137   115.5037    31.63209     
  J0742+2450   115.53097   24.84074     
  J0742+2338   115.56178   23.63895     
  J0742+2254   115.56224   22.90425     
  J0742+3750   115.66225   37.84102     
  J0742+2103   115.6704    21.05262     
  J0742+4004   115.73053   40.07967     
  J0743+4252   115.7785    42.86785     
  J0743+4046   115.77948   40.78282     
  J0743+4045   115.78486   40.76311     
  J0743+3254   115.79986   32.9121      
  J0743+2910   115.81639   29.17105     
  J0743+3205   115.81657   32.08603     
  J0743+3926   115.8448    39.44506     
  J0743+2246   115.85318   22.78174     
  J0743+4302   115.85935   43.04858     
  J0743+2038   115.87319   20.64121     
  J0743+2516   115.90569   25.27861     
  J0743+3156   115.92038   31.94979     
  J0743+2510   115.92232   25.18034     
  J0743+2002   115.93046   20.04495     
  J0743+2432   115.9826    24.5499      
  J0743+2520   115.99954   25.34657     
  J0744+3736   116.03546   37.61565     
  J0744+3113   116.04852   31.22113     
  J0744+3604   116.0633    36.08011     
  J0744+1924   116.08951   19.40894     
  J0744+4202   116.13521   42.04335     
  J0744+4123   116.13601   41.38401     
  J0744+3207   116.1442    32.11809     
  J0744+2954   116.22461   29.91379     
  J0744+3918   116.22919   39.30504     
  J0745+4224   116.25744   42.41332     
  J0745+3944   116.27464   39.74675     
  J0745+2123   116.30874   21.39916     
  J0745+5107   116.30993   51.12507     
  J0745+2457   116.32485   24.96073     
  J0745+3216   116.34072   32.27734     
  J0745+4048   116.40034   40.8025      
  J0745+1835   116.42125   18.58805     
  J0745+3720   116.47487   37.33495     
  J0745+4604   116.492     46.07692     
  J0745+4300   116.49292   43.01396     
  J0745+1927   116.4999    19.46214     
  J0746+4027   116.50014   40.45264     
  J0746+3852   116.50427   38.87031     
  J0746+2326   116.50678   23.44875     
  J0746+3547   116.5278    35.7862      
  J0746+2052   116.59338   20.87419     
